planet_key,planet_name,planet_status,discovered,publication,detection_type,mass_detection_type,radius_detection_type,molecules,alternate_names,row_current,current_as_of,row_expired_date
6749,Kepler-908 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19411740+3922353 b, K01615.01, KIC 4278221 b, KOI-1615 b, KOI-1615.01, Kepler-908 A b, WISE J194117.40+392235.2 b",True,2022-05-01,
6750,Kepler-909 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19180152+4522155 b, K01616.01, KIC 9015738 b, KOI-1616 b, KOI-1616.01, WISE J191801.52+452215.5 b",True,2022-05-01,
6751,Kepler-91 b,Confirmed,2013.0,Published in a refereed paper,Primary Transit,,,,"2MASS J19024148+4407002 b, K02133.01, KIC 8219268 b, KOI-2133 b, KOI-2133.01, WISE J190241.49+440700.3 b",True,2022-05-01,
6752,Kepler-910 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19441136+4244348 b, K01618.01, KIC 7215603 b, KOI-1618 b, KOI-1618.01, WISE J194411.35+424434.6 b",True,2022-05-01,
6753,Kepler-911 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19542140+4045024 b, K01621.01, KIC 5561278 b, KOI-1621 b, KOI-1621.01, WISE J195421.40+404502.5 b",True,2022-05-01,
7092,PSR J2055+3829 b,Confirmed,2019.0,Published in a refereed paper,Timing,Timing,,,None,True,2022-05-01,
6754,Kepler-912 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19522668+4145300 b, K01626.01, KIC 6387542 b, KOI-1626 b, KOI-1626.01, WISE J195226.69+414529.8 b",True,2022-05-01,
6755,LP 791-18 c,Confirmed,2019.0,Published in a refereed paper,Primary Transit,,Primary Transit,,TOI-736.01,True,2022-05-01,
6756,Kepler-913 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19501994+4157087 b, K01627.01, KIC 6543893 b, KOI-1627 b, KOI-1627.01, WISE J195020.06+415708.5 b",True,2022-05-01,
6757,Kepler-914 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19213888+4453575 b, K01629.01, KIC 8685497 b, KOI-1629 b, KOI-1629.01, WISE J192138.89+445357.6 b",True,2022-05-01,
6758,Kepler-915 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19222209+4544136 b, K01632.01, KIC 9277896 b, KOI-1632 b, KOI-1632.01, WISE J192222.10+454413.9 b",True,2022-05-01,
6759,Kepler-916 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19235599+4558238 b, K01633.01, KIC 9401997 b, KOI-1633 b, KOI-1633.01, WISE J192356.00+455823.9 b",True,2022-05-01,
6760,Kepler-917 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19561230+4756574 b, K01637.01, KIC 10686864 b, KOI-1637 b, KOI-1637.01, WISE J195612.29+475657.4 b",True,2022-05-01,
6761,Kepler-918 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19524817+4816042 b, K01641.01, KIC 10879038 b, KOI-1641 b, KOI-1641.01, WISE J195248.17+481604.2 b",True,2022-05-01,
6762,Kepler-919 b,Confirmed,2016.0,Announced on a website,Primary Transit,,,,"2MASS J19522754+4829398 b, K01643.01, KIC 10990917 b, KOI-1643 b, KOI-1643.01, WISE J195227.54+482939.7 b",True,2022-05-01,
6763,Kepler-92 b,Confirmed,2013.0,Published in a refereed paper,Primary Transit,,,,"2MASS J19162065+4133465 b, K00285.01, KIC 6196457 b, KOI-285 b, KOI-285.01, WISE J191620.65+413346.7  b",True,2022-05-01,
6764,Kepler-92 c,Confirmed,2013.0,Published in a refereed paper,Primary Transit,,,,"2MASS J19162065+4133465 c, K00285.02, KIC 6196457 c, KOI-285 c, KOI-285.02, WISE J191620.65+413346.7  c",True,2022-05-01,
6765,Kepler-92 d,Confirmed,2015.0,Published in a refereed paper,Primary Transit,,Primary Transit,,"2MASS J19162065+4133465 d, K00285.03, KIC 06196457 d, KOI-270 d, KOI-285.03, WISE J191620.65+413346.7 d",True,2022-05-01,
