star_key,star_name,star_detected_disc,star_age,star_metallicity,star_sp_type,star_teff,star_magnetic_field,star_alternate_names,row_current,current_as_of,row_expired_date
3426,2MASS J19444589+4432316,,,-0.24,,5919.0,,8507586,True,2022-05-01,
3427,2MASS J19234665+3832199,,,0.21,,7201.0,,3441784,True,2022-05-01,
3428,2MASS J19443517+3923489,,,-0.1,,6613.0,,4282390,True,2022-05-01,
6156,HD 28109,,,,F8,,,None,True,2022-05-19,
3429,2MASS J19331040+4520331,,,-0.26,,6086.0,,9026007,True,2022-05-01,
3430,WASP-169,,3.8,0.06,,6110.0,,None,True,2022-05-01,
3431,2MASS J19253264+4242328,,,-0.08,,6955.0,,7199060,True,2022-05-01,
3432,2MASS J19445587+4228220,,,-0.08,,5957.0,,6964929,True,2022-05-01,
3433,Kepler-1578,,4.27,-0.13,,5545.0,,"2MASS J19131248+4746319, KIC 10526887, KOI-4261, WISE J191312.49+474632.1",True,2022-05-01,
3434,2MASS J19063252+3929190,,,0.36,,5064.0,,4349442,True,2022-05-01,
3435,LHS 3844,,,,,3036.0,,TIC 410153553,True,2022-05-01,
3436,Kepler-210,,,,M0 V,4559.0,,"2MASS J19300081+4304593, KIC 7447200, KOI-676, WISE J193000.81+430459.5",True,2022-05-01,
3437,K2-210,,,0.05,,5396.0,,"2MASS J01103382+0134416, EPIC 220250254, TYC 20-536-1, WISE J011033.88+013442.1",True,2022-05-01,
3438,2MASS J19385202+4546525,,,-0.36,,6177.0,,9288237,True,2022-05-01,
3439,USco1610-1913,,,,K7,4140.0,,None,True,2022-05-01,
3440,GJ 1214,,6.0,0.39,M,3026.0,,None,True,2022-05-01,
3441,Kepler-1498,,4.17,-0.01,,5256.0,,"2MASS J18590674+4455004, KIC 8738775, KOI-3432, WISE J185906.74+445500.3",True,2022-05-01,
3443,CT Cha,,0.002,,K7,,,None,True,2022-05-01,
3444,HD 8574,,7.13,0.05,F8,6080.0,,None,True,2022-05-01,
3445,2MASS J19110739+4737476,,,-0.14,,6353.0,,10460984,True,2022-05-01,
3446,TrES-3,,,-0.19,G,5720.0,,None,True,2022-05-01,
3447,Kepler-898,,3.98,-0.06,,4223.0,,"2MASS J19062049+4652153, KIC 9941066, KOI-1584",True,2022-05-01,
3448,HN Peg,,0.2,,G0V,,,None,True,2022-05-01,
3449,HATS-31,,4.3,0.0,,6050.0,,None,True,2022-05-01,
3450,2MASS J19550784+4434287,,,-0.58,,5360.0,,8517433,True,2022-05-01,
3451,Kepler-823,,4.47,0.06,,5643.0,,"2MASS J18581981+3913127, KIC 4135665, KOI-1339, WISE J185819.81+391312.6",True,2022-05-01,
3452,2MASS J19134459+4531114,,,0.21,,6423.0,,9147029,True,2022-05-01,
3453,TOI-892,,,,,,,None,True,2022-05-01,
3454,2MASS J19133643+4540373,,,-0.24,,5159.0,,9210738,True,2022-05-01,
3455,Kepler-1435,,2.63,-0.03,,6356.0,,"2MASS J19244159+4455160, KIC 8751796, KOI-3125, WISE J192441.58+445515.9",True,2022-05-01,
3456,Kepler-978,,3.63,-0.01,,6002.0,,"2MASS J19065057+4302364, KIC 7430034, KOI-1848, WISE J190650.55+430236.2",True,2022-05-01,
3457,Wendelstein-1,,,,,4125.0,,None,True,2022-05-01,
3458,2MASS J19100089+4410021,,,0.04,,5023.0,,8222627,True,2022-05-01,
3459,WASP-64,,,,,,,None,True,2022-05-01,
3460,HD 137496,,,,,,,None,True,2022-05-01,
3461,VB 10,,,,M8V,,,None,True,2022-05-01,
3462,HATS-24,,0.88,0.0,,6346.0,,None,True,2022-05-01,
3463,EPIC 246193072,,1.8,0.098,,5282.0,,None,True,2022-05-01,
3464,2MASS J19143858+4322051,,,-0.3,,6474.0,,7673841,True,2022-05-01,
3465,Kepler-1177,,4.47,0.02,,5712.0,,"2MASS J19064114+4924226, KIC 11498128, KOI-2296, WISE J190641.15+492422.6",True,2022-05-01,
3466,Kepler-44,,5.8,0.15,G2 IV,5800.0,,"2MASS J20002456+4545437, KIC 9305831, KOI-204, WISE J200024.56+454544.0",True,2022-05-01,
3467,2MASS J19232013+4526083,,,-0.34,,5984.0,,9086154,True,2022-05-01,
3468,HD 17028,,,,K0,,,None,True,2022-05-01,
3469,2MASS J19183957+5001121,,,-0.66,,5881.0,,11810124,True,2022-05-01,
3470,WASP-100,,,-0.03,F2,6900.0,,None,True,2022-05-01,
3471,Kepler-833,,3.72,-0.18,,4339.0,,"2MASS J19215518+4536025, KIC 9214942, KOI-1403, WISE J192155.17+453602.2",True,2022-05-01,
3472,2MASS J19093073+4746162,,,-0.04,,6091.0,,10525077,True,2022-05-01,
3473,Kepler-382,,,-0.314,,5600.0,,"2MASS J19563267+4552117, KIC 9364290, KOI-2374, WISE J195632.69+455211.8",True,2022-05-01,
3474,Kepler-1286,,4.17,0.03,,5753.0,,"2MASS J18410201+4350087, KIC 8004903, KOI-2594, WISE J184102.00+435008.7",True,2022-05-01,
3475,KOI-682,,,0.34,,5589.0,,None,True,2022-05-01,
3476,Kepler-1179,,4.9,-0.03,,5212.0,,"2MASS J18562343+4748382, KIC 10583761, KOI-2300, WISE J185623.39+474837.9",True,2022-05-01,
3478,Kepler-690,,3.55,0.19,,5913.0,,"2MASS J19375757+3946172, KIC 4664847, KOI-816",True,2022-05-01,
3479,Kepler-231,,,-0.011,M1 V,3767.0,,"2MASS J19355360+5031548, KIC 12066335, KOI-784, WISE J193553.61+503154.7",True,2022-05-01,
3480,2MASS J19231528+4015175,,,-0.24,,6674.0,,5096053,True,2022-05-01,
3481,Kepler-138,,,-0.28,M1 V,3841.0,,"KOI-314, 2MASS J19213157+4317347, KIC 7603200, WISE J192131.55+431734.9",True,2022-05-01,
3482,2MASS J18512184+4402590,,,-0.16,,5881.0,,8145958,True,2022-05-01,
3483,HD 126614 A,,7.2,0.56,K0,5585.0,,HD 126614,True,2022-05-01,
3484,K2-211,,,0.11,,5221.0,,"2MASS J01242543+0142176, EPIC 220256496, WISE J012425.46+014217.6",True,2022-05-01,
3485,GD 66,,,,DA,11980.0,,None,True,2022-05-01,
3486,2MASS J19282240+3736485,,,-0.08,,6585.0,,2305866,True,2022-05-01,
3487,WASP-120,,,-0.05,F5,6450.0,,None,True,2022-05-01,
3488,HIP 75056,,,,A2V,,,None,True,2022-05-01,
3489,K2-24,,5.0,0.34,G9 V,5625.0,,"EPIC 203771098, 2MASS 16101770-2459251, 2MASS J16101770-2459251, TYC 6784-837-1, WISE J161017.64-245925.8",True,2022-05-01,
3490,Kepler-198,,,-0.14,,5574.0,,"2MASS J19224155+3841276, KIC 3541946, KOI-624, WISE J192241.55+384127.6",True,2022-05-01,
3491,BD-10 3166,,4.18,0.5,G4 V,5400.0,,None,True,2022-05-01,
3492,2MASS J19315878+4142458,,,-0.52,,6318.0,,6367663,True,2022-05-01,
3493,Kepler-1573,,4.07,0.02,,5808.0,,"2MASS J19315720+4929058, KIC 11509504, KOI-4232, WISE J193157.20+492905.7",True,2022-05-01,
3494,2MASS J19280679+4356468,,,-0.02,,5382.0,,8098212,True,2022-05-01,
3495,2MASS J19045214+4251393,,,0.0,,6156.0,,7266212,True,2022-05-01,
3496,2M 2140+16,,,,,2300.0,,None,True,2022-05-01,
3497,Kepler-492,,4.57,0.07,K0V,5527.0,,"KOI-205, KIC 7046804, 2MASS J19415919+4232163",True,2022-05-01,
3498,Kepler-327,,,-0.042,,3799.0,,"2MASS J19303416+4405156, KIC 8167996, KOI-1867, WISE J193034.15+440515.5",True,2022-05-01,
3500,Kepler-368,,,-0.489,,5502.0,,"2MASS J19273121+4523165, KIC 9022166, KOI-2175, WISE J192731.20+452316.3",True,2022-05-01,
3501,2MASS J19191325+4629301,,,0.48,,5933.0,,9705459,True,2022-05-01,
3502,Kepler-1478,,3.98,0.03,,5904.0,,"2MASS J19323961+4144464, KIC 6368230, KOI-3356, WISE J193239.61+414446.2",True,2022-05-01,
3503,PDS 70,Imaging,0.0054,,K7,3972.0,,"V* V1032 Cen, 2MASS J14081015-4123525",True,2022-05-01,
3504,Kepler-1087,,3.55,0.01,,5589.0,,"2MASS J19395491+4600203, KIC 9473078, KOI-2079, WISE J193954.94+460020.6",True,2022-05-01,
3505,2MASS J19450794+5124157,,,0.0,,5061.0,,12519942,True,2022-05-01,
3507,2MASS J19052923+4341309,,,-0.2,,4514.0,,7877978,True,2022-05-01,
3508,Kepler-1466,,3.89,-0.07,,5884.0,,"2MASS J19191949+4436355, KIC 8554701, KOI-3315, WISE J191919.49+443635.4",True,2022-05-01,
3509,WASP-134,,5.1,0.4,G4,5700.0,,None,True,2022-05-01,
3510,2MASS J19081475+4501495,,,0.16,,5192.0,,8807988,True,2022-05-01,
3511,K2-205,,,-0.26,,5890.0,,"2MASS J01005219+0025334, EPIC 220211923, WISE J010052.21+002533.4",True,2022-05-01,
3512,Kepler-325,,,-0.171,,5752.0,,"2MASS J19192050+4949322, KIC 11709244, KOI-1832, WISE J191920.49+494932.1",True,2022-05-01,
3513,2MASS J19533130+4117469,,,-0.5,,4961.0,,5986270,True,2022-05-01,
3514,2MASS J19324681+3954262,,,0.07,,6392.0,,4840513,True,2022-05-01,
3515,2MASS J19502180+4048538,,,-0.3,,4467.0,,5642620,True,2022-05-01,
3516,NSVS 1425 (AB),,,,sdOB+dM,42000.0,,None,True,2022-05-01,
3517,2MASS J19393986+4656419,,,-0.56,,6065.0,,10019399,True,2022-05-01,
3518,2MASS J19502713+4140221,,,-0.06,,4893.0,,6307000,True,2022-05-01,
3519,GJ 536,,,-0.08,M1,3685.0,,None,True,2022-05-01,
3520,2MASS J19404892+4225496,,,-0.2,,6122.0,,6960487,True,2022-05-01,
3521,2MASS J18563189+4908333,,,-0.2,,3767.0,,11337141,True,2022-05-01,
3522,Kepler-742,,2.57,0.07,,4642.0,,"2MASS J18552784+4647225, KIC 9875711, KOI-956, WISE J185527.83+464722.7",True,2022-05-01,
3523,Kepler-1583,,4.27,-0.07,,5645.0,,"2MASS J19053286+4700598, KIC 10063208, KOI-4292, WISE J190532.87+470059.5",True,2022-05-01,
3524,2MASS J19481992+4340478,,,0.21,,4968.0,,7907808,True,2022-05-01,
3525,Kepler-58,,,,,6099.0,,"2MASS J19452607+3906546, KIC 4077526, KOI-1336, WISE J194526.07+390654.6",True,2022-05-01,
3526,HD 10647,Imaging,4.8,-0.078,F8V,6039.0,,q1 Eri,True,2022-05-01,
3527,2MASS J18593128+4508046,,,0.3,,6115.0,,8869680,True,2022-05-01,
3528,Kepler-977,,4.57,-0.01,,5315.0,,"2MASS J19260389+4214535, KIC 6776401, KOI-1847, WISE J192603.88+421453.2",True,2022-05-01,
3529,MOA-2010-BLG-073L,,,,M,,,None,True,2022-05-01,
3530,Kepler-1314,,6.03,-0.22,,4188.0,,"2MASS J19365710+4511503, KIC 8892303, KOI-2688",True,2022-05-01,
3531,V 1298 Tau,,0.023,,K0-K1.5,4970.0,,None,True,2022-05-01,
3532,Kepler-291,,,0.07,,6002.0,,"2MASS J19113992+4226142, KIC 6936909, KOI-1363, WISE J191139.91+422614.2",True,2022-05-01,
3533,2MASS J18550009+4105096,,,-0.3,,3644.0,,5769943,True,2022-05-01,
3534,Kepler-973,,2.29,-0.06,,5213.0,,"2MASS J19203966+4955259, KIC 11760231, KOI-1841, WISE J192039.67+495525.7",True,2022-05-01,
3535,HD 195019,,5.33,0.08,G3 IV-V,5787.0,,None,True,2022-05-01,
3536,WISE 1217+16 A,,6.0,,T8.5,575.0,,None,True,2022-05-01,
3537,Kepler-122,,,-0.202,,6050.0,,"2MASS J19242685+3956567, KIC 4833421, KOI-232, WISE J192426.85+395656.6",True,2022-05-01,
