id,title,status,rating,score,favorites,load_date,airing,aired_from,aired_to
38287,Sasurai no Violin,Finished Airing,G - All Ages,,0,2022-03-11,False,1973-12-03,
38290,Tokyo Cosmo,Finished Airing,G - All Ages,5.82,0,2022-03-11,False,2015-10-27,
38291,Bobunemimimmi Specials,Finished Airing,PG-13 - Teens 13 or older,5.73,4,2022-03-11,False,2018-09-15,
38292,Mutafukaz,Finished Airing,R - 17+ (violence & profanity),7.09,82,2022-03-11,False,2018-10-12,
38295,Joshikausei,Finished Airing,PG-13 - Teens 13 or older,5.79,41,2022-03-11,False,2019-04-06,2019-06-22
38297,"Maou-sama, Retry!",Finished Airing,PG-13 - Teens 13 or older,6.54,514,2022-03-11,False,2019-07-04,2019-09-19
38299,Nagano Toshi Gas x Kamiusagi Rope,Finished Airing,G - All Ages,,0,2022-03-11,False,2018-06-03,2018-06-24
38301,Kouya no Kotobuki Hikoutai,Finished Airing,PG-13 - Teens 13 or older,6.86,80,2022-03-11,False,2019-01-13,2019-03-31
38302,Boku no Tonari ni Ankoku Hakaishin ga Imasu.,Finished Airing,PG-13 - Teens 13 or older,6.66,209,2022-03-11,False,2020-01-11,2020-03-28
38304,Time: Toki no Shiori,Finished Airing,G - All Ages,,0,2022-03-11,False,2002-10-01,
38305,Ohayou no Uta,Finished Airing,G - All Ages,,0,2022-03-11,False,2007-08-01,
38306,Ichiban Kirei na Hoshi,Finished Airing,G - All Ages,,0,2022-03-11,False,1989-10-03,
38307,Sokkuri House,Finished Airing,G - All Ages,,0,2022-03-11,False,2002-10-02,
38308,TaChiTsuTeTo Te wo,Finished Airing,G - All Ages,,0,2022-03-11,False,2001-02-01,
38309,Piano,Finished Airing,G - All Ages,,0,2022-03-11,False,1997-06-02,
38310,Yume Miru Koneko,Finished Airing,G - All Ages,,0,2022-03-11,False,1983-08-01,
38311,Tenka Muteki no Gouyaaman★,Finished Airing,G - All Ages,,0,2022-03-11,False,2001-10-02,
38312,Chao Wa Zhanshi: Weiwu Jiaoguan,Finished Airing,PG-13 - Teens 13 or older,,0,2022-03-11,False,2012-06-01,
38313,Oushitsu Kyoushi Heine Movie,Finished Airing,PG-13 - Teens 13 or older,7.34,36,2022-03-11,False,2019-02-16,
38319,Mayuge no Uta,Finished Airing,G - All Ages,,0,2022-03-11,False,1999-08-01,
38320,Kokoro wa Hallelujah,Finished Airing,G - All Ages,,0,2022-03-11,False,1998-06-01,
38321,Kimi ga Wasureta Ookina Mono,Finished Airing,G - All Ages,,0,2022-03-11,False,1992-06-01,
38322,Nukazuke no Uta,Finished Airing,G - All Ages,,0,2022-03-11,False,2005-04-02,
38323,Te no Naka no Mahou,Finished Airing,G - All Ages,,0,2022-03-11,False,1991-08-02,
38324,Haru wo Yobu Yume,Finished Airing,G - All Ages,,0,2022-03-11,False,1970-12-19,
38325,Hitori no Shita: The Outcast Fanwai Pian,Finished Airing,R - 17+ (violence & profanity),6.6,3,2022-03-11,False,2018-09-30,2019-04-14
38326,Totan Yane no Waltz,Finished Airing,G - All Ages,,0,2022-03-11,False,1985-10-01,
38327,Hato no Uta,Finished Airing,G - All Ages,,0,2022-03-11,False,1986-10-02,
38328,Azur Lane,Finished Airing,PG-13 - Teens 13 or older,6.29,859,2022-03-11,False,2019-10-03,2020-03-20
38329,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Finished Airing,PG-13 - Teens 13 or older,8.63,8746,2022-03-11,False,2019-06-15,
38331,Stand My Heroes: Piece of Truth,Finished Airing,PG-13 - Teens 13 or older,5.73,71,2022-03-11,False,2019-10-07,2019-12-23
